"RamDA_mESC_00h_A04"	"RamDA_mESC_00h_A05"	"RamDA_mESC_00h_A06"	"RamDA_mESC_00h_A07"	"RamDA_mESC_00h_A08"	"RamDA_mESC_00h_A09"	"RamDA_mESC_00h_A10"	"RamDA_mESC_00h_A11"	"RamDA_mESC_00h_A12"	"RamDA_mESC_00h_B01"	"RamDA_mESC_00h_B02"	"RamDA_mESC_00h_B03"	"RamDA_mESC_00h_B04"	"RamDA_mESC_00h_B05"	"RamDA_mESC_00h_B06"	"RamDA_mESC_00h_B07"	"RamDA_mESC_00h_B08"	"RamDA_mESC_00h_B09"	"RamDA_mESC_00h_B10"	"RamDA_mESC_00h_B11"	"RamDA_mESC_00h_B12"	"RamDA_mESC_00h_C01"	"RamDA_mESC_00h_C02"	"RamDA_mESC_00h_C03"	"RamDA_mESC_00h_C04"	"RamDA_mESC_00h_C05"	"RamDA_mESC_00h_C06"	"RamDA_mESC_00h_C07"	"RamDA_mESC_00h_C08"	"RamDA_mESC_00h_C09"	"RamDA_mESC_00h_C10"	"RamDA_mESC_00h_C11"	"RamDA_mESC_00h_D01"	"RamDA_mESC_00h_D02"	"RamDA_mESC_00h_D03"	"RamDA_mESC_00h_D04"	"RamDA_mESC_00h_D05"	"RamDA_mESC_00h_D06"	"RamDA_mESC_00h_D07"	"RamDA_mESC_00h_D08"	"RamDA_mESC_00h_D09"	"RamDA_mESC_00h_D10"	"RamDA_mESC_00h_D11"	"RamDA_mESC_00h_D12"	"RamDA_mESC_00h_E01"	"RamDA_mESC_00h_E02"	"RamDA_mESC_00h_E03"	"RamDA_mESC_00h_E04"	"RamDA_mESC_00h_E05"	"RamDA_mESC_00h_E06"	"RamDA_mESC_00h_E07"	"RamDA_mESC_00h_E08"	"RamDA_mESC_00h_E09"	"RamDA_mESC_00h_E10"	"RamDA_mESC_00h_E11"	"RamDA_mESC_00h_E12"	"RamDA_mESC_00h_F01"	"RamDA_mESC_00h_F02"	"RamDA_mESC_00h_F03"	"RamDA_mESC_00h_F04"	"RamDA_mESC_00h_F05"	"RamDA_mESC_00h_F06"	"RamDA_mESC_00h_F07"	"RamDA_mESC_00h_F08"	"RamDA_mESC_00h_F09"	"RamDA_mESC_00h_F10"	"RamDA_mESC_00h_F11"	"RamDA_mESC_00h_F12"	"RamDA_mESC_00h_G01"	"RamDA_mESC_00h_G02"	"RamDA_mESC_00h_G03"	"RamDA_mESC_00h_G04"	"RamDA_mESC_00h_G05"	"RamDA_mESC_00h_G06"	"RamDA_mESC_00h_G07"	"RamDA_mESC_00h_G08"	"RamDA_mESC_00h_G09"	"RamDA_mESC_00h_G10"	"RamDA_mESC_00h_G11"	"RamDA_mESC_00h_G12"	"RamDA_mESC_00h_H01"	"RamDA_mESC_00h_H02"	"RamDA_mESC_00h_H03"	"RamDA_mESC_00h_H04"	"RamDA_mESC_00h_H05"	"RamDA_mESC_00h_H06"	"RamDA_mESC_00h_H07"	"RamDA_mESC_00h_H08"	"RamDA_mESC_00h_H09"	"RamDA_mESC_00h_H10"	"RamDA_mESC_00h_H11"	"RamDA_mESC_00h_H12"	"RamDA_mESC_72h_A04"	"RamDA_mESC_72h_A05"	"RamDA_mESC_72h_A06"	"RamDA_mESC_72h_A07"	"RamDA_mESC_72h_A08"	"RamDA_mESC_72h_A09"	"RamDA_mESC_72h_A10"	"RamDA_mESC_72h_A11"	"RamDA_mESC_72h_A12"	"RamDA_mESC_72h_B01"	"RamDA_mESC_72h_B02"	"RamDA_mESC_72h_B03"	"RamDA_mESC_72h_B04"	"RamDA_mESC_72h_B05"	"RamDA_mESC_72h_B06"	"RamDA_mESC_72h_B07"	"RamDA_mESC_72h_B08"	"RamDA_mESC_72h_B09"	"RamDA_mESC_72h_B10"	"RamDA_mESC_72h_B11"	"RamDA_mESC_72h_B12"	"RamDA_mESC_72h_C01"	"RamDA_mESC_72h_C02"	"RamDA_mESC_72h_C03"	"RamDA_mESC_72h_C04"	"RamDA_mESC_72h_C05"	"RamDA_mESC_72h_C06"	"RamDA_mESC_72h_C07"	"RamDA_mESC_72h_C08"	"RamDA_mESC_72h_C09"	"RamDA_mESC_72h_C10"	"RamDA_mESC_72h_C11"	"RamDA_mESC_72h_C12"	"RamDA_mESC_72h_D01"	"RamDA_mESC_72h_D02"	"RamDA_mESC_72h_D03"	"RamDA_mESC_72h_D04"	"RamDA_mESC_72h_D05"	"RamDA_mESC_72h_D06"	"RamDA_mESC_72h_D07"	"RamDA_mESC_72h_D08"	"RamDA_mESC_72h_D09"	"RamDA_mESC_72h_D10"	"RamDA_mESC_72h_D11"	"RamDA_mESC_72h_D12"	"RamDA_mESC_72h_E01"	"RamDA_mESC_72h_E02"	"RamDA_mESC_72h_E03"	"RamDA_mESC_72h_E04"	"RamDA_mESC_72h_E05"	"RamDA_mESC_72h_E06"	"RamDA_mESC_72h_E07"	"RamDA_mESC_72h_E08"	"RamDA_mESC_72h_E09"	"RamDA_mESC_72h_E10"	"RamDA_mESC_72h_E11"	"RamDA_mESC_72h_E12"	"RamDA_mESC_72h_F01"	"RamDA_mESC_72h_F02"	"RamDA_mESC_72h_F03"	"RamDA_mESC_72h_F04"	"RamDA_mESC_72h_F05"	"RamDA_mESC_72h_F06"	"RamDA_mESC_72h_F07"	"RamDA_mESC_72h_F08"	"RamDA_mESC_72h_F09"	"RamDA_mESC_72h_F10"	"RamDA_mESC_72h_F11"	"RamDA_mESC_72h_F12"	"RamDA_mESC_72h_G01"	"RamDA_mESC_72h_G02"	"RamDA_mESC_72h_G03"	"RamDA_mESC_72h_G04"	"RamDA_mESC_72h_G05"	"RamDA_mESC_72h_G06"	"RamDA_mESC_72h_G07"	"RamDA_mESC_72h_G08"	"RamDA_mESC_72h_G09"	"RamDA_mESC_72h_G10"	"RamDA_mESC_72h_G11"	"RamDA_mESC_72h_G12"	"RamDA_mESC_72h_H01"	"RamDA_mESC_72h_H02"	"RamDA_mESC_72h_H03"	"RamDA_mESC_72h_H04"	"RamDA_mESC_72h_H05"	"RamDA_mESC_72h_H06"	"RamDA_mESC_72h_H07"	"RamDA_mESC_72h_H08"	"RamDA_mESC_72h_H09"	"RamDA_mESC_72h_H10"	"RamDA_mESC_72h_H11"	"RamDA_mESC_72h_H12"
"ENSMUST00000116307.7"	0	0	0	1.30052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56643	0	0	0	0	0	0	0	0	1.52887	0	0	0	0	0	0	0	0	0	3.11796	0	0	0	0	0	0	0	0	0	0	0	0	0	4.30721	0	0	0	2.02935	0	0	0	0	1.7804	0	0	0	0	0	0	0	9.54139	0	0	0	0	0	0	4.70664	2.02148	1.83268	0	0	0	0	3.01728	0	0	0	1.36239e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000547696	0	0	0	0	0	0	2.44964	0	0	0	0	0	0	0	0	0	0	2.92952	0	0	0	0	1.44094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.700966	0	0	0	0	0
"ENSMUST00000116309.9"	0.0106107	0	0	0	0	0	0	0	0	0	0.988721	0	0	0	2.70495	0	0	0	3.00844e-06	0	0	0	0	0	0	2.30835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.55989	7.88176	0	0	0	0	0	0	0	0	0	0	0	6.48037e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00556e-05	0	0	0	0	0	0	0	0	7.80796	0	0	0	0	0	0	0	0	1.11046	0	0	0	0	0.56171	0	7.35123e-07	0.142055	0	0	0	0	0	0	0	0	0	0	4.64813	0	0	0	0	0	3.30283e-09	0	6.41199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06722	0	0	0	0	0	0	0	0	2.44946e-07	0	9.32174e-09	0	0	0	0	0	0	0	0	0	0	0	0	8.01853e-08	0	0	0	0	0	1.95973	0	0	0	2.50659	0	0	0	0	3.54566e-05
"ENSMUST00000117415.7"	0	0	0	0	0	0.767986	0	0	0	0	0	0.0143404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0888511	0	0	0	0	0	0	0	0	0	0	0	0.420147	0	0	0	0	0	0	0	0	0.207868	0	0	0	0.0764745	0	0	0	0	0	0	0	0	0	0	0	0	0.449434	0	0	0	0	0	0	0	0	0	0	0	7.43612e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.919764	0	0	0	0	0.000535138	0	0	0	0	0	0.839201	0	0	0.000730501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0899273	0	0	0	0	0.507275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.674581	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000118098.2"	0	0	0	0	0.175434	0.683115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188707	0.176118	0	0	0.158249	0	0	0.176086	0	0.169094	0.20402	0.4469	0.323496	0	0	0.168829	0	0	0.194721	0	0	0	0.326257	0	0	0.461873	0.159222	0	0.266631	0.306673	0.142301	0.160571	0.110918	0	0	0	0	0	0.0866703	0.329065	0	0.466918	0.345279	0.342448	0	0	0	0	0	0.184536	0.322599	0	0.0932072	0	0	0	0	0	0	0	0	0	0.169826	0	0	0	0	1.19658	0.406227	0	0	0.187992	0.202344	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167642	0.167724	0.113328	0	0.506603	0	0	0	0	0	0	0.171717	0	0	0	0	0.199301	0	0	0	0	0	0	0	0	0	0	0	0.199883	0	0	0.189707	0	0	0	0	0	0.149727	0	0	0	0.175896	0	0	0	0	0	0	0	0	0	0	0.34857	0	0	0	0	0	0.203242	0.328911	0.183387	0	0	0.252145	0.211102	0.210188	0	0	0	0	0.247776	0.38924	0	0.188047	0.19671
"ENSMUST00000118263.7"	1.3467	0	0	0	0.0242798	0	0	0	0	0.0933745	0	0.75823	1.63456	0	0	0	0	0	0	1.20851	1.69863	0	0.374374	0	0	0	0	0.286494	0	0	0	0	1.07548	0	0	0.995186	0.767741	0	0	0	0.385519	0	0.812139	0	0	0.36256	0	0	0	0	0	1.0932	0.756344	0	0.627807	0	0	0	0	0	0.344476	0	1.64385	0	0	0	0	0	0	2.03435	0.692486	0.991605	0.195298	0.373906	0.595291	0	0	0	0	0	0	0	0	0.434747	0	0	0	0.560777	0	0	0	0.345129	0	0	0	0	0	3.97291e-09	0.233471	0	0	0	0	0.546889	0	0.838506	0	0.382382	0.429154	0.708217	0	0	0	1.47719	0	0	0	0	0	0	0	0	0	0	1.47044	1.80583	0	0.35885	0	0	1.25015	0	0.417058	0	0	0	0.719861	0	0.624378	0	0.630586	2.21799	0	0.583204	0	0.708588	0	0	0	0	0	0	0	3.51288	0	0	0	0	0	0	0	0	0	0	0	0	0	0.32516	0	0	0	0	0	0	0.550139	0.750061	0	0	0	0	0	1.30334	0	0	0.000470751
"ENSMUST00000119714.7"	0	0	0	0	0	1.88362e-05	0	0	0	0	0	7.64793e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38929	0	0	0	0	0	0	0	0	0	0.426498	0	0	0	0	0	1.15859e-06	0	0	0	0.062381	0	0.0878443	0	0	0	0	0	1.21621e-05	0	0	0	0	0	0	0.797402	0	4.36475e-06	0	0	0	5.1755e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00260221	0	0	0	0	0	0	0	0	0	0.86248	0	0	0	0	0	0	0	0	0.449627	0	0	0	0	0	0	0.687712	0	0	2.74649e-05	0	0	0	0	2.07021e-08	0	0	0	0	0	3.02965e-06	0	0	1.50244e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.77004e-06	0	0	0	0	1.64561e-05	0	0	0	0	0	1.60021	0	0	0	0	0	0	0	0	0	0	0	0	0	2.98576e-05	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000122156.7"	0.479206	1.31359	2.48801	2.64087	0.879932	0.289913	0	0	0	0.768802	2.52238	0	0	3.05992	3.68682	3.63099	2.78564	0.375312	2.01276	3.06946	0	1.85037	1.93594	2.19538	1.34904	1.58157	1.62663	1.47491	0.478031	2.11539	0.708827	1.00544	0	1.1179	1.48646	0.792462	1.84455	1.52656	1.5037	1.55437	0	2.70886	1.96357	3.08884	1.483	2.52724	1.91119	1.26115	3.18498	0.671763	1.41122	0	0.991388	2.66386	2.66962	2.39388	1.90877	0	2.20026	0.538185	0.815764	2.33125	3.7581	3.07223	1.73371	2.66544	1.97244	0.452199	5.60805	0	2.54417	0	0.0141053	1.90786	1.64049	2.92327	2.15975	2.2582	3.7247	0.572686	2.24091	2.74216	1.89463	0.929464	1.96729	2.57529	1.05742	1.43988	4.17392	2.97221	2.23554	0.957457	5.50598	3.9346	1.79211	6.097	1.47305	3.4786	0	2.83484	0	2.33174	1.03626	3.27341	2.85285	3.04778	2.40539	0	1.02433	2.02023	1.84423	0	3.67249	2.32211	1.40894	2.72622	0.765609	0.887941	4.17282	4.34653	2.36523	5.31918	3.37173	7.7835	2.8386	3.75749	2.28315	5.54895	4.03761	0	5.42285	1.47674	3.05538	5.78252	2.89878	4.56779	0.671914	0.910147	4.53153	1.89293	0	1.07333	2.33557	2.3224	4.16581	3.32425	4.95388	1.07055	2.48073	0.550096	6.28397	2.52748	3.65567	0.773842	3.87412	2.0957	2.13446	3.72392	3.02008	1.11	2.95663	0.582182	2.25417	6.68073	3.66533	2.37559	3.88591	1.82722	3.07392	3.00386	4.63366	4.06568	4.57121	1.79834	2.50589	9.64659	4.1727	5.28605	1.40345	7.70811	7.70933	3.55082	2.59396	2.41422	1.92414
"ENSMUST00000123102.1"	0	0	0	0	4.42142	0	0	0	0	2.94308	0	0	0	0	0	0	5.15899	0	0	0	0	0	0	0	4.79757	0	0	0	0	0	3.84318	0	0	11.0828	0	0	0	0	0	0	0	12.5031	0	0	0	0	0	0	0	0	0	2.79233	3.06574	0	4.23684	5.85714	3.2262	0	0	0	0	0	0	4.93562	0	0	0	0	3.29378	3.7612	0	0	6.51521	9.84255	5.28814	0	0	0	0	0	1.83734	0	0	0	0	0	0	0	2.60584	0	5.58143	0	0	3.19975	0	3.12622	0	2.81524	0	0	0	2.07808	0	2.42015	0	6.61674	0	0	0	0	3.40308	0	0	0	0	2.05119	0	2.59752	3.5138	0	0	0	0	12.941	0	0	0	3.66051	1.97777	0	0	0	0	14.9025	0	4.05846	0	5.21769	10.9001	0	0	0	2.02493	0	0	0	0	0	7.20573	0	0	0	4.82898	2.93442	0	0	11.3658	0	0	0	0	20.9624	6.84956	2.52955	54.7581	0	2.58906	5.46337	0	0	5.59278	2.2239	6.68457	5.89302	0	0	0	9.27849	0	0	11.4618	0	0	0	0
"ENSMUST00000123213.7"	0	0	0	0	0	0	1.12652	0	0	2.15809	0	0	0	2.33142	0	2.01473	0	0	0	0	0.311044	0	0	0	0	3.01938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79853	0	0	2.19499	5.49573	0	0	0	0	0	0	2.89969e-06	0	0	0	0	0	0	2.44812	6.71804	1.87678	0	0	0	0	0	0	0	0	3.37982	0	0	0	2.96505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.05221	0	0	0	0	1.1567	0	0	2.74323	0	0	0	0	0	0	0	0	1.60108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019539	0	0	0	2.02398	0	0	0	0	0	0	1.27771	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000123261.1"	4.29489	0	0	4.12575	2.25864	0	0	0	0	2.42579	6.84585	1.76471	1.95801	0.972707	3.37741	0	0.616277	0	0	2.67499	1.18951	1.78471	2.71094	1.86612	1.24915	1.40836	1.82532	0.827336	0.663172	4.91001	0.75194	2.82744	0	9.27376	4.52866	0.608993	5.32348	0	0	0	0	0	1.44039	9.58445	0	2.53244	1.49809	5.21913	0	2.09516	1.13487	0	3.40842	0.0338447	0.541218	6.62695	0	3.28648	1.09706	0	2.66595	0.389782	2.15735	0	0	0	2.73484	0	2.3769	0	1.37959	0.0296314	0.850439	0	0.0990241	5.57829	6.92708	1.31439	0	1.78666	0	0	4.59414	0.93082	0.684711	3.07099	3.80884	1.216	5.88088	0	3.93471	3.65506	0	2.86022	0	0	0	3.55201	0.515612	7.7853	0	0	7.20717	0	0	4.07359	5.85803	0	0	0	1.43641	0	0	2.04796	0	0	2.31976	6.17729	0	2.61965	3.18819	0	1.56094	2.7222	0	1.96216	0	0.190069	4.42555	0	4.78683	0	1.4141	3.89793	0	0.656756	0	2.81695	0.558264	2.08071	0	0	0	0	1.55692	0	2.44051	0	0	3.8801	3.98322	3.75548	0	0	1.32347	0.630305	0	0	4.66895	0	7.97519	6.34855	2.69364	5.09938	7.39673	1.97734	1.26831	0	7.56353	0	0	0	5.24957	1.34519	0	3.50154	3.77537	2.06295	0	7.39263	0.36974	6.55191	2.0916	0.416096	2.86082
"ENSMUST00000123280.7"	0	0	16.4945	2.36827	0.704164	9.09616	4.35128	0	2.36138	0	0	0	0.00206335	0	5.53173	0	0	0	0	0	0	0	0	2.76962	10.3019	3.95336	0	0	4.04412	0	0	2.04298	0	0	5.50218	0	0	0	2.62745	0.653603	0	0.178991	0	0	8.39412	0	0	3.58977	0	0	0	0	5.72742	2.6304	0	6.6678	2.29464	0	4.03217	4.03494	0	4.49556	0	6.37651	0	3.77916	0	0	4.54286	5.20862	0	0	0	0	0	0	0	0	0	0	0	1.0974	2.33608	0	0	0	2.02975	0	0	0	2.338	0.586689	6.45919	7.6042	0	0	8.16157	0	0	2.58719	0	0	2.14276	0	0	4.86249	12.4789	9.44465	26.7869	0	0	0	0	0	1.81137	0	0	0	2.87545	0	1.13603	0	0	0	0	0	0.0614403	13.7006	0	0	1.1301e-05	5.01741	3.53927	8.8178	8.10021	3.84994	0.811736	0	0	3.59173	4.96139	0.0013524	16.13	0	17.4749	18.0642	0.697888	0	0	9.75369	0	0	1.47138	4.69916	0	0	0.020749	0	2.09479	0.0334234	0	0	5.57286e-08	0.576935	0.582386	0	1.13018	0	1.66695	0	3.25101	1.74499	0	4.70007	11.0113	0	0	0	5.98312	0	1.49112e-05	13.3035	0	6.17522	0
"ENSMUST00000123765.7"	0	1.90173	4.47457	0	0	0.993844	0	0	0	1.17315	0	0.932611	1.64297	1.4863	3.07722e-05	1.83995	1.34157	1.43481	0.378791	0	0	0.666587	2.84952	1.51691	0.891903	0	2.42015	3.08636	0	4.7645	1.28819	3.29898	1.21146	0.776958	0.989623	2.12554	1.33683	1.42348	0	4.42252	2.21101	3.18692	0	0.756883	0.762805	0.277772	2.09933	1.16248	0.872022	1.93602	1.56308	1.32334	1.8303	0	1.88143	0	11.1183	1.44631	0	1.11835	0.824546	2.68147	2.44853	1.38859	1.46673	0	0.87042	0.697219	0.505221	0.589956	0	3.04916e-05	1.01678	0	2.20115	0	3.51248	0.884328	4.05231	0	0	0	0	0.852789	3.37795	0.573128	0	0.0489126	3.71097	1.71403	0	0.9106	0	2.00468	0.530563	0	0	2.30088	0	0	0	0	1.03796	3.86091	3.90651	1.64126	0	0.671268	0	0	1.62684	3.37251	0.365729	0.9654	0	4.48433	1.66434	2.07746e-06	0.839011	3.55109	1.59374	0.169474	1.89483	0	0.955796	0	1.75209	1.55753	2.12307	4.40938e-06	0	3.53243	1.56633	0	1.42931	5.62783	1.76895	2.64439	0	1.36809	1.87125	0	0	1.87634	1.62477	0.888463	0.77853	1.14382	0	0.719497	1.17706	2.07847	0	1.77683	0	0.596614	2.30515	0	0.397986	0.733905	3.29778	6.6375	4.87669	0	0	3.84792	1.19869	0	0.953977	0	1.74121	1.84629	2.79429	0	6.82549	9.12969	0	0	3.78766	4.20032	0	0	0	0.763805	1.73021
"ENSMUST00000123951.7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.008e-06	0	0	5.3104	0	0	0	1.93289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64818	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58431	0	0	0	0	0	0	1.71428	0	0	0	2.66564	0	0	0	0	0	1.919	0	0	0	0	0	0	0	0	0	0	0	0	1.54332	0	0	0	0	6.30567	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000124085.1"	0	0.513079	0	0	0	0	0	0	1.17904	0	0	0	0.767469	0.736088	0	0.467604	0	0	0	0.636839	0	0	0.397424	0.414252	0.464958	0	0	0.423082	0.984689	0	1.64028	1.30158	0	0	0	0.778262	0	2.31167	0	1.31241	1.65179	0.421343	0.479776	0	1.16333	0	0	0	0	0	0	0	0	0.377807	0	0.791262	1.93578	0	0	0	0	0.794744	0	0	0	0	0	0	0.680718	0	0	0	0.812973	0.752818	0	0	0.874928	0	0.40805	2.03531	0.469766	0	0.447467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01691	0	0	1.41955	0	0	0.502987	0.923899	0.826108	0.817508	0	0.505586	0	0	0	0	0	1.0218	0	0	0	0	1.13713	0	0	0.47612	0	1.00845	0	0	1.02996	0	0	0	0	1.25946	3.93994	0	0	0.46742	0	0	0	0	0	0	0.462088	0	0	0	4.41381	0	0	0	0	0	0.432562	0	0	0	0	0	0	1.99869	0.888644	0	0	0	0.451849	0	0	0	0	0	0	0	0	0	1.22099	0	1.16113	0	0
"ENSMUST00000125294.8"	0	0	0	0	0	0.139845	0	0	0	0	0.250862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUST00000125447.1"	0	5.13068	4.37587	0	10.0653	3.17507	1.42432	0	2.98907	6.48177	6.11255	4.99923	3.19656	4.09535	0	2.37668	13.5566	6.82809	16.8603	4.95555	0	1.59412	0	0	5.34372	0.971617	5.68825	0.759994	0.761676	0	0	8.03081	4.95295	5.18113	3.5154	0.572139	4.95946	2.27092	1.94124	0	3.74856	0	6.75544	5.17617	7.77782	2.06609	5.05139	5.43989	4.2253	0	7.18101	4.93957	16.5559	14.773	0	0	0	2.43098	3.03401	1.89611	4.19184	2.67228	10.1324	3.25145	0	5.74675	4.76928	0	3.68594	0	0	2.69894	0	0	6.99482	0	5.04627	0.00729412	0	0	3.78729	1.52647	6.05554	0.11287	0	2.93512	0	0	5.47423	1.49479	0	2.14804	4.79995	14.2798	1.10061	9.12851	3.60325	10.67	4.3457	3.56327	4.60588	2.97585	9.25142	16.7444	13.8624	3.83957	6.63339	3.13505	5.07438	6.61413	2.93577	13.627	11.81	6.01098	0	11.1977	14.6968	9.85078	7.82724	23.5009	3.78167	5.80595	24.0215	2.66996	6.25182	9.45892	22.5295	0.598714	8.05559	0.185202	24.2715	8.61944	5.9157	0	12.1741	17.0968	0	7.50574	18.4116	2.85405	8.0775	9.16483	3.86096	30.6605	11.7529	18.4788	1.76865	0	12.4074	4.39435	4.53095	14.298	5.17819	6.10992	11.4715	5.86575	10.3729	36.3891	9.53476	1.31981	6.22533	4.65602	20.904	0	6.88602	13.5779	7.27143	8.6752	9.88594	4.31585	15.7812	15.2927	7.48293	7.13092	8.48317	19.095	5.28802	10.4602	14.3349	13.131	5.38568	10.3165	3.31532	8.84568	25.9641
"ENSMUST00000125647.7"	8.27999	0	9.48251e-05	0	2.50705	0	0.00704708	2.60847	0	0	7.56876	2.22643	0.163155	0	7.14466	6.58588	1.38158	1.2849	3.94369	0	7.65056	2.79384	5.5133	1.0407e-07	5.7942	8.35919	3.96805e-06	9.97035	3.08528e-05	0	3.22597	2.69724	0	3.02779	7.6521	3.63074e-09	7.84691	16.6155	11.9455	0.85525	14.2453	7.39521	3.42323	0	7.72614	8.82708	0	8.5112	0	4.01706	2.79369e-08	8.26123	8.57621	0	0.924538	2.1263	12.9538	1.80041	0.221768	11.3723	6.22187	0	4.58549	6.52377e-05	0	5.72288e-08	6.44529e-06	13.8597	1.49283	2.48326	1.59527	0.824306	11.1276	5.64655	0.64313	13.641	1.25128	0	1.47985	8.4873	3.58103	6.96812	6.20078	4.80901e-08	3.47134	2.84405e-05	6.67936e-06	10.859	7.60549	9.6765	3.69618	3.88729e-05	0.00096784	4.77187	7.56591	0	4.5189e-07	3.89909	4.46576	1.86303	7.74289e-08	2.62484	0	19.7939	7.57423	0	9.5063	2.6289	28.5491	0	0	3.93879e-05	8.14066	0	11.3407	0	3.63665	0.391606	0	0.905488	4.62793	5.02056	8.93819e-09	8.12579	8.9852	11.2639	0.00201733	1.49776	3.94478e-06	4.76876	4.85857	2.76566e-05	10.1061	11.5124	32.4635	9.35749e-08	18.4533	0	0	9.61839e-08	7.66099e-08	4.81704	0.617966	7.8113	13.0857	3.58055	4.96954e-05	19.9058	6.62303	14.5685	2.19342	1.82223	4.00133	10.9412	5.41147	6.42573e-06	1.70925e-05	13.9058	0	14.4163	2.72306	30.5163	7.79325	11.4265	4.6204	2.15976e-05	0.737601	3.11639e-07	3.2272	14.4838	1.02274e-08	8.95475	0.453424	0	7.83867	2.80314	10.6132	0.00504726	2.37569	17.0757	15.2606	52.4162	0	5.51057	2.51687
"ENSMUST00000126900.7"	5.65767	1.0399	0.0587869	1.07598	0.00638276	0	0	0.0132929	0	0	0	0.72705	0	2.53872	0	0	1.29948e-07	2.83829	0	0	10.0973	0	0	0	0	3.912	1.8722	4.48396	0	1.21709	2.46406	1.15374	0	0	0	0	4.88378	0	0	0	0	0	0	0.35259	0	0	0	1.45635	5.44515	10.3579	11.1735	0.000335074	0	0	0.628472	2.56776	0	0	2.97967	0	0	0	0	0	0	1.26079	0	0	3.021	0	4.16865	0	4.24292	0	0	0.0581307	0	0	0	0	2.48193	0	0	0.00160431	0	0	0	5.79614	0	0	5.10149	0	0	0	0	0	1.5178	0	0	0	0	1.92702	0	0	0	8.90241	0	4.70288	0	0	2.25145	0	10.1343	0	0	0.916295	4.30622	1.37009	0	0	0	3.52112	0	0	4.03309	2.99902	0	0	0	0	0	0	0	0	0	0	0	0	0.875547	0	9.11628	8.82111	0	1.48939	6.55027	0.205855	0	0	0	0	0	2.22629	0	0	1.43229e-08	0	0	0.505393	8.48225e-08	0	1.82814	0	0	0.108159	0	0	0	0	0	0	4.72339	0	0	0	0	3.22123	3.33637	0	0	0	4.49472	0	0	0	0
